date,ISO WEEK,weekly new cases,weekly deaths,Hospitalised Cases,Severe Cases,Cases In ICUs,Intubated Cases,PCR_weekly_tests performed,RA_weekly tests performed,total_weekly tests performed,total cases,total deaths,total PCR tests,total RA tests,total tests,Notes
12/03/2020,2020 - 11,7,0,:,:,:,:,:,NA,NA,7,0,NA,NA,NA,NA
19/03/2020,2020 - 12,61,0,:,:,:,:,:,0,0,68,0,0,0,0,NA
26/03/2020,2020 - 13,79,2,21,:,6,6,0,0,0,147,2,0,0,0,NA
02/04/2020,2020 - 14,210,6,51,:,9,9,2862,0,2862,357,8,2862,0,2862,NA
09/04/2020,2020 - 15,208,2,51,:,12,12,6701,0,6701,565,10,9563,0,9563,NA
16/04/2020,2020 - 16,171,2,36,:,12,9,10245,0,10245,736,12,19808,0,19808,NA
23/04/2020,2020 - 17,60,1,31,:,10,7,15010,0,15010,796,13,34818,0,34818,NA
30/04/2020,2020 - 18,55,2,25,:,6,4,17265,0,17265,851,15,52083,0,52083,NA
07/05/2020,2020 - 19,39,0,19,:,5,5,12702,0,12702,890,15,64785,0,64785,NA
14/05/2020,2020 - 20,18,2,10,:,3,3,11132,0,11132,908,17,75917,0,75917,NA
21/05/2020,2020 - 21,16,0,8,:,4,2,13406,0,13406,924,17,89323,0,89323,NA
28/05/2020,2020 - 22,18,0,7,:,3,3,15921,0,15921,942,17,105244,0,105244,NA
04/06/2020,2020 - 23,17,0,7,:,3,3,14042,0,14042,959,17,119286,0,119286,NA
11/06/2020,2020 - 24,17,1,4,:,2,2,11424,0,11424,976,18,130710,0,130710,NA
18/06/2020,2020 - 25,10,1,2,:,1,0,7945,0,7945,986,19,138655,0,138655,NA
25/06/2020,2020 - 26,7,0,0,:,0,0,6806,0,6806,993,19,145461,0,145461,NA
02/07/2020,2020 - 27,7,0,1,:,0,0,8287,0,8287,1000,19,153748,0,153748,NA
09/07/2020,2020 - 28,11,0,0,:,0,0,9982,0,9982,1011,19,163730,0,163730,NA
16/07/2020,2020 - 29,21,0,0,:,0,0,10032,0,10032,1032,19,173762,0,173762,NA
23/07/2020,2020 - 30,14,0,0,:,0,0,11245,0,11245,1046,19,185007,0,185007,NA
30/07/2020,2020 - 31,44,0,6,:,0,0,11316,0,11316,1090,19,196323,0,196323,NA
06/08/2020,2020 - 32,119,0,4,:,0,0,20948,0,20948,1209,19,217271,0,217271,NA
13/08/2020,2020 - 33,97,1,3,:,0,0,23577,0,23577,1306,20,240848,0,240848,NA
20/08/2020,2020 - 34,90,0,2,:,1,1,23725,0,23725,1396,20,264573,0,264573,NA
27/08/2020,2020 - 35,72,0,5,:,1,1,22181,0,22181,1468,20,286754,0,286754,NA
03/09/2020,2020 - 36,31,1,6,:,2,2,17959,0,17959,1499,21,304713,0,304713,NA
